Qty,Value,Device,Package,Parts,Description,LCSC Part #,QTY 1,QTY 5,QTY 10,QTY 20,QTY 100,QTY 1000,QTY 10000,LCSC Links
1,,CRYSTALHC49S,HC49/S,Q1,CRYSTAL,,,,,,,,,
7,Red 624~632nm,LEDCHIPLED_0805,CHIPLED_0805,"LED1, LED2, LED3, LED4, LED5, LED6, LED7",LED,C72037,,,,US$ 0.012612,US$ 0.012612,US$ 0.009921,US$0.008913,https://lcsc.com/product-detail/Light-Emitting-Diodes-LED_Everlight-Elec-17-21SURC-S530-A3-TR8_C72037.html
3,0.1uF,C-EUC0805,C0805,"C3, C4, C5","CAPACITOR, European symbol",C396717,,,,US$ 0.020393,US$ 0.020393,US$ 0.013688,US$ 0.012185,https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_Walsin-Tech-Corp-0805B104J250CT_C396717.html
1,100k,R-US_R0805,R0805,R9,"RESISTOR, American symbol",C881367,,,,,US$ 0.003002,US$0.00225,US$0.001973,https://lcsc.com/product-detail/Chip-Resistor-Surface-Mount_Ever-Ohms-Tech-CR0805F100KP05Z_C881367.html
2,18pF,C-EUC0805,C0805,"C1, C2","CAPACITOR, European symbol",C527079,,,US$ 0.053231,US$ 0.053231,US$0.038237,US$0.032729,US$0.0309,https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_YAGEO-CC0805FRNPO9BN180_C527079.html
1,1K,R-US_R0805,R0805,R8,"RESISTOR, American symbol",C881062,,,,,US$0.002191," 	US$0.001642",US$0.00144,https://lcsc.com/product-detail/Chip-Resistor-Surface-Mount_Ever-Ohms-Tech-CR0805J1K00P05Z_C881062.html
7,330,R-US_M0805,M0805,"R1, R2, R3, R4, R5, R6, R7","RESISTOR, American symbol",C881004,,,,,US$0.002191,US$0.001642,US$0.00144,https://lcsc.com/product-detail/Chip-Resistor-Surface-Mount_Ever-Ohms-Tech-CR0805J330RP05Z_C881004.html
1,ADXL362BCCZ-RL,ADXL362BCCZ-RL,LGA_CC-16-4_ADI,U1,,C59641,US$2.643333,,US$2.283333,,US$2.151667,US$2.085,US$ 2.085,https://lcsc.com/product-detail/Motion-Sensors-Accelerometers_Analog-Devices-ADXL362BCCZ-RL_C59641.html
1,ATMEGA328PB-AU,ATMEGA328PB-AU,QFP80P900X900X120-32N,IC1,"ATMEL - ATMEGA328PB-AU - MCU, 8BIT, ATMEGA, 20MHZ, TQFP-32",C132230,US$1.806667,,US$1.35,,US$1.181667,US$1.126667,US$ 1.126667,https://lcsc.com/product-detail/MICROCHIP_Microchip-Tech-ATMEGA328PB-AU_C132230.html
1,"6 0.100""(2.54mm) 2 2X3 IDC ",IDC Connector,"6 0.100""(2.54mm)",IDC1,"Header 0.100""(2.54mm) 2 2X3 IDC Connectors",C11214,,US$ 0.06737,US$ 0.06737,US$ 0.06737,US$ 0.049044,US$ 0.042312,US$ 0.040077,https://lcsc.com/product-detail/IDC-Connectors_BOOMELE-Boom-Precision-Elec-C11214_C11214.html
1,LINX_BAT-HLD-001LINX_BAT-HLD-001_0_0,LINX_BAT-HLD-001LINX_BAT-HLD-001_0_0,LINX_BAT-HLD-001_0,BT1,"BATTERY HOLDER OUTLINE CR2032, CR2025 SURFACE MOUNT",,,,,,,,,
