C1, 17.55, 14.68, 0.00, 12pF, C0805
C2, 19.74, 10.49, 90.00, 12pF, C0805
C3, 34.58, 16.29, 180.00, 0.1uF, C0805
LED1, 55.55, 30.51, 0.00, , CHIPLED_0805
LED2, 55.55, 21.62, 0.00, , CHIPLED_0805
LED3, 55.55, 12.73, 0.00, , CHIPLED_0805
LED4, 40.31, 30.51, 0.00, , CHIPLED_0805
LED5, 40.31, 21.62, 0.00, , CHIPLED_0805
LED6, 40.31, 12.73, 0.00, , CHIPLED_0805
LED7, 47.93, 21.62, 0.00, , CHIPLED_0805
R1, 55.55, 26.06, 270.00, 330, M0805
R2, 55.55, 17.17, 270.00, 330, M0805
R3, 55.55, 8.28, 270.00, 330, M0805
R4, 40.31, 26.06, 270.00, 330, M0805
R5, 40.31, 17.17, 270.00, 330, M0805
R6, 40.31, 8.28, 270.00, 330, M0805
R7, 47.93, 17.17, 270.00, 330, M0805
U$1, 20.07, 31.55, 90.00, SCA600-C28H1G, SCA600-C28H1G
U1, 26.24, 16.69, 0.00, ATMEGA328PB-AU, QFP80P900X900X120-32N
Y1, 10.29, 6.60, 180.00, AS-16.000-18-SMD, HC-49
